classification,petal-width,petal-length,Petal.Ratio,sepal-width,sepal-length,Sepal.Ratio
Iris-setosa,5.1,3.5,0.6862745098039216,1.4,0.2,0.14285714285714288
Iris-setosa,4.9,3.0,0.6122448979591836,1.4,0.2,0.14285714285714288
Iris-setosa,4.7,3.2,0.6808510638297872,1.3,0.2,0.15384615384615385
Iris-setosa,4.6,3.1,0.673913043478261,1.5,0.2,0.13333333333333333
Iris-setosa,5.0,3.6,0.72,1.4,0.2,0.14285714285714288
Iris-setosa,5.4,3.9,0.7222222222222222,1.7,0.4,0.23529411764705885
Iris-setosa,4.6,3.4,0.7391304347826088,1.4,0.3,0.2142857142857143
Iris-setosa,5.0,3.4,0.6799999999999999,1.5,0.2,0.13333333333333333
Iris-setosa,4.4,2.9,0.6590909090909091,1.4,0.2,0.14285714285714288
Iris-setosa,4.9,3.1,0.6326530612244897,1.5,0.1,0.06666666666666667
Iris-setosa,5.4,3.7,0.6851851851851851,1.5,0.2,0.13333333333333333
Iris-setosa,4.8,3.4,0.7083333333333334,1.6,0.2,0.125
Iris-setosa,4.8,3.0,0.625,1.4,0.1,0.07142857142857144
Iris-setosa,4.3,3.0,0.6976744186046512,1.1,0.1,0.09090909090909091
Iris-setosa,5.8,4.0,0.6896551724137931,1.2,0.2,0.16666666666666669
Iris-setosa,5.7,4.4,0.7719298245614036,1.5,0.4,0.26666666666666666
Iris-setosa,5.4,3.9,0.7222222222222222,1.3,0.4,0.3076923076923077
Iris-setosa,5.1,3.5,0.6862745098039216,1.4,0.3,0.2142857142857143
Iris-setosa,5.7,3.8,0.6666666666666666,1.7,0.3,0.17647058823529413
Iris-setosa,5.1,3.8,0.7450980392156863,1.5,0.3,0.19999999999999998
Iris-setosa,5.4,3.4,0.6296296296296295,1.7,0.2,0.11764705882352942
Iris-setosa,5.1,3.7,0.7254901960784315,1.5,0.4,0.26666666666666666
Iris-setosa,4.6,3.6,0.782608695652174,1.0,0.2,0.2
Iris-setosa,5.1,3.3,0.6470588235294118,1.7,0.5,0.29411764705882354
Iris-setosa,4.8,3.4,0.7083333333333334,1.9,0.2,0.10526315789473685
Iris-setosa,5.0,3.0,0.6,1.6,0.2,0.125
Iris-setosa,5.0,3.4,0.6799999999999999,1.6,0.4,0.25
Iris-setosa,5.2,3.5,0.673076923076923,1.5,0.2,0.13333333333333333
Iris-setosa,5.2,3.4,0.6538461538461539,1.4,0.2,0.14285714285714288
Iris-setosa,4.7,3.2,0.6808510638297872,1.6,0.2,0.125
Iris-setosa,4.8,3.1,0.6458333333333334,1.6,0.2,0.125
Iris-setosa,5.4,3.4,0.6296296296296295,1.5,0.4,0.26666666666666666
Iris-setosa,5.2,4.1,0.7884615384615383,1.5,0.1,0.06666666666666667
Iris-setosa,5.5,4.2,0.7636363636363637,1.4,0.2,0.14285714285714288
Iris-setosa,4.9,3.1,0.6326530612244897,1.5,0.2,0.13333333333333333
Iris-setosa,5.0,3.2,0.64,1.2,0.2,0.16666666666666669
Iris-setosa,5.5,3.5,0.6363636363636364,1.3,0.2,0.15384615384615385
Iris-setosa,4.9,3.6,0.7346938775510203,1.4,0.1,0.07142857142857144
Iris-setosa,4.4,3.0,0.6818181818181818,1.3,0.2,0.15384615384615385
Iris-setosa,5.1,3.4,0.6666666666666667,1.5,0.2,0.13333333333333333
Iris-setosa,5.0,3.5,0.7,1.3,0.3,0.23076923076923075
Iris-setosa,4.5,2.3,0.5111111111111111,1.3,0.3,0.23076923076923075
Iris-setosa,4.4,3.2,0.7272727272727273,1.3,0.2,0.15384615384615385
Iris-setosa,5.0,3.5,0.7,1.6,0.6,0.37499999999999994
Iris-setosa,5.1,3.8,0.7450980392156863,1.9,0.4,0.2105263157894737
Iris-setosa,4.8,3.0,0.625,1.4,0.3,0.2142857142857143
Iris-setosa,5.1,3.8,0.7450980392156863,1.6,0.2,0.125
Iris-setosa,4.6,3.2,0.6956521739130436,1.4,0.2,0.14285714285714288
Iris-setosa,5.3,3.7,0.6981132075471699,1.5,0.2,0.13333333333333333
Iris-setosa,5.0,3.3,0.6599999999999999,1.4,0.2,0.14285714285714288
Iris-versicolor,7.0,3.2,0.4571428571428572,4.7,1.4,0.2978723404255319
Iris-versicolor,6.4,3.2,0.5,4.5,1.5,0.3333333333333333
Iris-versicolor,6.9,3.1,0.4492753623188406,4.9,1.5,0.3061224489795918
Iris-versicolor,5.5,2.3,0.41818181818181815,4.0,1.3,0.325
Iris-versicolor,6.5,2.8,0.43076923076923074,4.6,1.5,0.32608695652173914
Iris-versicolor,5.7,2.8,0.49122807017543857,4.5,1.3,0.2888888888888889
Iris-versicolor,6.3,3.3,0.5238095238095238,4.7,1.6,0.3404255319148936
Iris-versicolor,4.9,2.4,0.48979591836734687,3.3,1.0,0.30303030303030304
Iris-versicolor,6.6,2.9,0.4393939393939394,4.6,1.3,0.28260869565217395
Iris-versicolor,5.2,2.7,0.5192307692307693,3.9,1.4,0.358974358974359
Iris-versicolor,5.0,2.0,0.4,3.5,1.0,0.2857142857142857
Iris-versicolor,5.9,3.0,0.5084745762711864,4.2,1.5,0.35714285714285715
Iris-versicolor,6.0,2.2,0.3666666666666667,4.0,1.0,0.25
Iris-versicolor,6.1,2.9,0.4754098360655738,4.7,1.4,0.2978723404255319
Iris-versicolor,5.6,2.9,0.5178571428571429,3.6,1.3,0.3611111111111111
Iris-versicolor,6.7,3.1,0.4626865671641791,4.4,1.4,0.3181818181818181
Iris-versicolor,5.6,3.0,0.5357142857142857,4.5,1.5,0.3333333333333333
Iris-versicolor,5.8,2.7,0.4655172413793104,4.1,1.0,0.24390243902439027
Iris-versicolor,6.2,2.2,0.3548387096774194,4.5,1.5,0.3333333333333333
Iris-versicolor,5.6,2.5,0.44642857142857145,3.9,1.1,0.2820512820512821
Iris-versicolor,5.9,3.2,0.5423728813559322,4.8,1.8,0.375
Iris-versicolor,6.1,2.8,0.45901639344262296,4.0,1.3,0.325
Iris-versicolor,6.3,2.5,0.39682539682539686,4.9,1.5,0.3061224489795918
Iris-versicolor,6.1,2.8,0.45901639344262296,4.7,1.2,0.2553191489361702
Iris-versicolor,6.4,2.9,0.45312499999999994,4.3,1.3,0.3023255813953489
Iris-versicolor,6.6,3.0,0.4545454545454546,4.4,1.4,0.3181818181818181
Iris-versicolor,6.8,2.8,0.4117647058823529,4.8,1.4,0.2916666666666667
Iris-versicolor,6.7,3.0,0.44776119402985076,5.0,1.7,0.33999999999999997
Iris-versicolor,6.0,2.9,0.48333333333333334,4.5,1.5,0.3333333333333333
Iris-versicolor,5.7,2.6,0.45614035087719296,3.5,1.0,0.2857142857142857
Iris-versicolor,5.5,2.4,0.43636363636363634,3.8,1.1,0.2894736842105263
Iris-versicolor,5.5,2.4,0.43636363636363634,3.7,1.0,0.27027027027027023
Iris-versicolor,5.8,2.7,0.4655172413793104,3.9,1.2,0.3076923076923077
Iris-versicolor,6.0,2.7,0.45,5.1,1.6,0.3137254901960785
Iris-versicolor,5.4,3.0,0.5555555555555555,4.5,1.5,0.3333333333333333
Iris-versicolor,6.0,3.4,0.5666666666666667,4.5,1.6,0.35555555555555557
Iris-versicolor,6.7,3.1,0.4626865671641791,4.7,1.5,0.3191489361702127
Iris-versicolor,6.3,2.3,0.36507936507936506,4.4,1.3,0.2954545454545454
Iris-versicolor,5.6,3.0,0.5357142857142857,4.1,1.3,0.3170731707317074
Iris-versicolor,5.5,2.5,0.45454545454545453,4.0,1.3,0.325
Iris-versicolor,5.5,2.6,0.4727272727272727,4.4,1.2,0.2727272727272727
Iris-versicolor,6.1,3.0,0.49180327868852464,4.6,1.4,0.30434782608695654
Iris-versicolor,5.8,2.6,0.4482758620689655,4.0,1.2,0.3
Iris-versicolor,5.0,2.3,0.45999999999999996,3.3,1.0,0.30303030303030304
Iris-versicolor,5.6,2.7,0.4821428571428572,4.2,1.3,0.30952380952380953
Iris-versicolor,5.7,3.0,0.5263157894736842,4.2,1.2,0.2857142857142857
Iris-versicolor,5.7,2.9,0.5087719298245613,4.2,1.3,0.30952380952380953
Iris-versicolor,6.2,2.9,0.46774193548387094,4.3,1.3,0.3023255813953489
Iris-versicolor,5.1,2.5,0.4901960784313726,3.0,1.1,0.3666666666666667
Iris-versicolor,5.7,2.8,0.49122807017543857,4.1,1.3,0.3170731707317074
Iris-virginica,6.3,3.3,0.5238095238095238,6.0,2.5,0.4166666666666667
Iris-virginica,5.8,2.7,0.4655172413793104,5.1,1.9,0.37254901960784315
Iris-virginica,7.1,3.0,0.4225352112676057,5.9,2.1,0.3559322033898305
Iris-virginica,6.3,2.9,0.4603174603174603,5.6,1.8,0.32142857142857145
Iris-virginica,6.5,3.0,0.46153846153846156,5.8,2.2,0.37931034482758624
Iris-virginica,7.6,3.0,0.39473684210526316,6.6,2.1,0.31818181818181823
Iris-virginica,4.9,2.5,0.5102040816326531,4.5,1.7,0.37777777777777777
Iris-virginica,7.3,2.9,0.3972602739726027,6.3,1.8,0.28571428571428575
Iris-virginica,6.7,2.5,0.3731343283582089,5.8,1.8,0.3103448275862069
Iris-virginica,7.2,3.6,0.5,6.1,2.5,0.4098360655737705
Iris-virginica,6.5,3.2,0.49230769230769234,5.1,2.0,0.3921568627450981
Iris-virginica,6.4,2.7,0.421875,5.3,1.9,0.3584905660377358
Iris-virginica,6.8,3.0,0.4411764705882353,5.5,2.1,0.38181818181818183
Iris-virginica,5.7,2.5,0.43859649122807015,5.0,2.0,0.4
Iris-virginica,5.8,2.8,0.48275862068965514,5.1,2.4,0.47058823529411764
Iris-virginica,6.4,3.2,0.5,5.3,2.3,0.43396226415094336
Iris-virginica,6.5,3.0,0.46153846153846156,5.5,1.8,0.32727272727272727
Iris-virginica,7.7,3.8,0.49350649350649345,6.7,2.2,0.3283582089552239
Iris-virginica,7.7,2.6,0.33766233766233766,6.9,2.3,0.3333333333333333
Iris-virginica,6.0,2.2,0.3666666666666667,5.0,1.5,0.3
Iris-virginica,6.9,3.2,0.463768115942029,5.7,2.3,0.40350877192982454
Iris-virginica,5.6,2.8,0.5,4.9,2.0,0.4081632653061224
Iris-virginica,7.7,2.8,0.3636363636363636,6.7,2.0,0.29850746268656714
Iris-virginica,6.3,2.7,0.4285714285714286,4.9,1.8,0.36734693877551017
Iris-virginica,6.7,3.3,0.4925373134328358,5.7,2.1,0.3684210526315789
Iris-virginica,7.2,3.2,0.4444444444444445,6.0,1.8,0.3
Iris-virginica,6.2,2.8,0.4516129032258064,4.8,1.8,0.375
Iris-virginica,6.1,3.0,0.49180327868852464,4.9,1.8,0.36734693877551017
Iris-virginica,6.4,2.8,0.43749999999999994,5.6,2.1,0.37500000000000006
Iris-virginica,7.2,3.0,0.41666666666666663,5.8,1.6,0.27586206896551724
Iris-virginica,7.4,2.8,0.37837837837837834,6.1,1.9,0.3114754098360656
Iris-virginica,7.9,3.8,0.48101265822784806,6.4,2.0,0.3125
Iris-virginica,6.4,2.8,0.43749999999999994,5.6,2.2,0.3928571428571429
Iris-virginica,6.3,2.8,0.4444444444444444,5.1,1.5,0.29411764705882354
Iris-virginica,6.1,2.6,0.42622950819672134,5.6,1.4,0.25
Iris-virginica,7.7,3.0,0.38961038961038963,6.1,2.3,0.3770491803278688
Iris-virginica,6.3,3.4,0.5396825396825397,5.6,2.4,0.4285714285714286
Iris-virginica,6.4,3.1,0.484375,5.5,1.8,0.32727272727272727
Iris-virginica,6.0,3.0,0.5,4.8,1.8,0.375
Iris-virginica,6.9,3.1,0.4492753623188406,5.4,2.1,0.3888888888888889
Iris-virginica,6.7,3.1,0.4626865671641791,5.6,2.4,0.4285714285714286
Iris-virginica,6.9,3.1,0.4492753623188406,5.1,2.3,0.45098039215686275
Iris-virginica,5.8,2.7,0.4655172413793104,5.1,1.9,0.37254901960784315
Iris-virginica,6.8,3.2,0.4705882352941177,5.9,2.3,0.38983050847457623
Iris-virginica,6.7,3.3,0.4925373134328358,5.7,2.5,0.43859649122807015
Iris-virginica,6.7,3.0,0.44776119402985076,5.2,2.3,0.44230769230769224
Iris-virginica,6.3,2.5,0.39682539682539686,5.0,1.9,0.38
Iris-virginica,6.5,3.0,0.46153846153846156,5.2,2.0,0.3846153846153846
Iris-virginica,6.2,3.4,0.5483870967741935,5.4,2.3,0.4259259259259259
Iris-virginica,5.9,3.0,0.5084745762711864,5.1,1.8,0.35294117647058826
